Maker,Adv_year,Adv_month,Color,Bodytype,Runned_Miles,Engin_size,Gearbox,Fuel_type,Price,Seat_num,Door_num,issue,breakdown_date,repair_complexity,repair_cost,repair_hours,Label
Mercedes-Benz,2018,5,red,Hatchback,2799,1.5L,Automatic,Diesel,20480.0,5.0,5.0,Electrical Issue,2018-05-28,1,80.48,3.0,0
SEAT,2018,5,silver,MPV,5307,2.0L,Automatic,Diesel,18984.0,7.0,5.0,Excessive Emissions,2018-05-14,2,57.0856,2.0,0
Hyundai,2018,4,red,Hatchback,35035,1.2L,Manual,Petrol,8995.0,5.0,5.0,Starter Motor Issue,2018-04-23,1,149.95,3.0,0
Land Rover,2018,5,grey,Estate,201,3.0L,Automatic,Diesel,60500.0,11.0,5.0,Sensor Malfunction,2018-05-26,3,3205.0,9.0,1
SKODA,2018,4,gelb,Hatchback,15674,1.0L,Manual,Petrol,6376.0,4.0,5.0,Windscreen Crack,2018-04-25,1,23.8256,1.0,1
Ford,2018,6,green,Hatchback,91811,1.8L,Manual,Diesel,795.0,5.0,5.0,Windscreen Crack,2018-06-08,1,20.477,1.0,0
BMW,2018,7,grey,Estate,173000,2.0L,Manual,Diesel,1250.0,5.0,5.0,Transmission Issue,2018-07-20,1,171.25,8.0,0
Audi,2018,5,blue,Convertible,39890,2.5L,Manual,Petrol,21495.0,2.0,2.0,Engine Issue,2018-05-03,1,5502.0452056882,4404.60667925587,1
Kia,2017,11,blue,MPV,10729,1.7L,Automatic,Diesel,14495.0,7.0,5.0,Brake Pads Worn,2017-11-28,1,47.2475,2.0,0
Vauxhall,2018,3,blue,Hatchback,85359,1.3L,Manual,Diesel,3350.0,5.0,5.0,Radiator Leaking,2018-03-01,1,107.0,2.0,0
Volkswagen,2018,4,black,MPV,8100,2.0L,Automatic,Diesel,12495.0,5.0,5.0,Alternator Failing,2018-04-23,1,289.9,2.0,0
SKODA,2018,8,blue,Estate,88521,2.0L,Manual,Diesel,8500.0,5.0,5.0,Engine Issue,2018-08-14,1,625.0,10.0,0
MINI,2018,8,blue,Convertible,89500,1.6L,Manual,Petrol,2600.0,4.0,2.0,Engine Issue,2018-08-24,2,530.0,20.0,0
